,FG,FGA,FGApred,Error,PercentageError,RsquaredU,RsquaredT
0,0.8,1.9,2.0719136790925194,0.17191367909251953,9.048088373290502,0.029554313059125786,26.917661532118764
1,1.9,4.6,4.348806783153202,0.2511932168467981,5.460722105365176,0.06309803218984252,6.191255440748244
2,4.9,10.8,10.558515248773244,0.24148475122675706,2.2359699187662687,0.05831488507504874,13.777285897601134
3,1.3,3.0,3.1068650900291934,0.10686509002919342,3.5621696676397807,0.011420147466947615,16.7135701615604
4,3.0,7.6,6.625699887213885,0.9743001127861151,12.819738326133093,0.9492607097750365,0.26191533922544485
5,5.6,11.8,12.007447224084586,0.2074472240845857,1.7580273227507264,0.04303435078040032,22.200839197093536
6,3.6,7.1,7.867641580337893,0.7676415803378935,10.811853244195683,0.5892735958636587,0.00013868947924467687
7,1.0,2.7,2.485894243467189,0.21410575653281105,7.929842834548557,0.045841274980487366,19.256504171712677
8,2.9,5.7,6.4187096050265495,0.7187096050265493,12.60894043906227,0.5165434963574186,1.9271640701898827
9,2.4,5.9,5.383758194089875,0.5162418059101253,8.749861117120766,0.26650560216934743,1.4118747300883625
10,2.0,5.0,4.555797065340537,0.44420293465946337,8.884058693189267,0.19731624716007948,4.360676760545203
11,3.0,6.0,6.625699887213885,0.6256998872138846,10.428331453564743,0.3915003488594679,1.1842300600376034
12,2.3,4.6,5.176767911902541,0.5767679119025413,12.53843286744655,0.3326612242004176,6.191255440748244
13,3.8,8.2,8.28162214471256,0.08162214471256135,0.9953920086897726,0.006662174507478307,1.2360473189208843
14,0.2,1.1,0.8299719859685111,0.270028014031489,24.548001275589908,0.07291512836179002,35.85881889252483
15,2.7,4.6,6.00472904065188,1.4047290406518806,30.53758784025828,1.973263677650753,6.191255440748244
16,0.4,1.0,1.2439525503431805,0.24395255034318053,24.395255034318055,0.05951284681894203,37.0664635625756
17,6.0,11.2,12.835408352833927,1.6354083528339274,14.601860293160065,2.6745604805189793,16.906707217398083
18,2.9,5.5,6.4187096050265495,0.9187096050265495,16.70381100048272,0.8440273383680387,2.522453410291403
19,2.7,5.9,6.00472904065188,0.10472904065187993,1.7750684856250838,0.01096817195586312,1.4118747300883625
20,1.4,3.0,3.313855372216528,0.31385537221652804,10.461845740550935,0.09850519466917536,16.7135701615604
21,1.6,5.0,3.7278359365911977,1.2721640634088023,25.443281268176044,1.618401404228795,4.360676760545203
22,1.1,2.9,2.692884525654524,0.20711547434547573,7.14191290846468,0.042896819713351415,17.541214831611164
23,8.6,19.1,18.21715568970463,0.882844310295372,4.622221519871057,0.7794140762209111,144.28277828338813
24,10.3,20.3,21.73599048688932,1.4359904868893203,7.073844763001577,2.0620686784366273,174.55104224277898
25,2.0,5.1,4.555797065340537,0.544202934659463,10.670645777636532,0.29615683409197174,3.953032090494444
26,2.4,5.4,5.383758194089875,0.01624180591012525,0.30077418352083796,0.00026379625922217954,2.850098080342162
27,0.3,0.5,1.036962268155846,0.5369622681558459,107.39245363116919,0.28832847742307055,43.4046869128294
28,1.9,3.7,4.348806783153202,0.6488067831532014,17.535318463600035,0.4209502418656053,11.48005747120508
29,3.0,6.9,6.625699887213885,0.27430011278611577,3.975363953421968,0.07524055187447583,0.03542802958076433
30,4.4,9.9,9.523563837836573,0.37643616216342757,3.8023854763982583,0.14170418418433034,7.9060879280579694
31,6.5,14.1,13.870359763770601,0.22964023622939855,1.6286541576553089,0.052734638095493974,49.16501178592605
32,3.0,6.9,6.625699887213885,0.27430011278611577,3.975363953421968,0.07524055187447583,0.03542802958076433
33,2.4,5.1,5.383758194089875,0.28375819408987546,5.563886158625009,0.08051871271314744,3.953032090494444
34,2.2,4.2,4.969777629715207,0.7697776297152066,18.328038802743013,0.5925575992099616,8.341834120951281
35,7.9,15.9,16.768223714393287,0.8682237143932863,5.4605265056181524,0.7538124182348748,77.64740772501237
36,2.1,3.8,4.762787347527872,0.9627873475278719,25.336509145470316,0.9269594765597551,10.812412801154322
37,0.9,2.4,2.2789039612798545,0.1210960387201454,5.045668280006059,0.014664250593710956,21.979438181864964
38,2.9,5.9,6.4187096050265495,0.5187096050265492,8.791688220788968,0.2690596543467986,1.4118747300883625
39,4.6,10.4,9.937544402211241,0.4624555977887592,4.446688440276531,0.21386517992615864,10.967864577804171
40,2.0,4.5,4.555797065340537,0.055797065340536633,1.2399347853452585,0.0031133125006161146,6.698900110799002
41,8.3,17.2,17.596184843142627,0.3961848431426276,2.30340025082923,0.15696242993594842,102.2480270143525
42,3.0,4.8,6.625699887213885,1.8256998872138848,38.035414316955936,3.3331800781727914,5.235966100646723
43,2.1,3.6,4.762787347527872,1.1627873475278716,32.29964854244088,1.3520744155709032,12.167702141255841
44,3.5,8.7,7.660651298150558,1.0393487018494412,11.946536802867142,1.0802457240361185,2.5978239686670843
45,2.4,6.6,5.383758194089875,1.2162418059101245,18.427906150153404,1.479244130443521,0.23836203973304448
46,3.9,9.7,8.488612426899898,1.211387573100101,12.48853168144434,1.4674598522613524,6.821377268159484
47,1.5,4.0,3.520845654403863,0.4791543455961369,11.978858639903422,0.2295888869036622,9.5371234610528
48,1.1,3.0,2.692884525654524,0.3071154743454758,10.237182478182527,0.09431991458244661,16.7135701615604
49,0.7,2.3,1.8649233969051848,0.435076603094815,18.916374047600655,0.1892916505605232,22.92708285191572
50,7.4,15.6,15.733272303456612,0.13327230345661256,0.8543096375423883,0.017761506868631424,72.45034173516463
51,0.7,1.8,1.8649233969051848,0.06492339690518478,3.606855383621377,0.004215047465708157,27.965306202169522
